transaction_id,user_id,timestamp,amount,merchant,location_city,location_state,is_fraud_actual
ebac2305-3286-4084-aa2c-ea59b49057fb,5d0e4472-2f5b-42d5-80cc-8ce73f116fe0,2025-10-13 21:52:41,276.15,Moore-Miller,Sanchezfort,UT,0
26f02a28-d25d-45a7-88da-1209471c50e0,da643f44-22a7-40ad-acec-762ba3a61947,2025-10-13 21:52:51,572.73,Rogers-West,West Sonya,MH,0
ce7b8733-67b4-4534-add4-3c8907f87c10,7687db0e-7536-48c8-a4a3-e26be1c86a92,2025-10-13 21:53:01,1828.26,Smith-Hill,Corychester,NC,0
10cc5e90-31f3-4adb-b665-35cef848b839,af87bd82-03cc-415a-910d-6cbf86fb45d2,2025-10-13 21:53:11,1354.76,Clark-Lee,Johnsonland,PA,0
50f8570c-5be0-48cc-a86a-18eeb28517d5,42f89ed7-0b8a-49ef-bf88-b01b14893620,2025-10-13 21:53:21,53.37,Hubbard and Sons,Stewartmouth,OH,0
1cf85e03-6010-497f-a599-0309b62d0585,e1e2c7e9-0b81-435a-8c6b-8cc4ab8730c4,2025-10-13 21:53:31,803.27,Mora-Bartlett,Hollandburgh,NC,0
3c41a9c3-8a85-4e2f-8287-cc2eea9a77a4,9e7b7911-0741-413f-8699-5017547f97af,2025-10-13 21:53:41,137.69,Rose-Garcia,Lake Matthew,MH,0
18a02517-3a59-4643-a1a9-7889552e8753,88adef1e-ffe0-44c6-a8a3-6f5202bb54b3,2025-10-13 21:53:51,839.79,"Avila, Fisher and Moore",Lake Frankshire,OH,0
20ab473f-2bd8-4c6c-8d92-8b7c494b4f90,1f73ab9d-8c6d-4a09-9011-50456f478c54,2025-10-13 21:54:01,1592.66,Dominguez-Boyd,Lake Kevin,OH,0
bd8f133d-66c3-414f-83c5-a9b493a17c67,3d64a2eb-c20f-4422-8fcf-b9f52e8e6c43,2025-10-13 21:54:11,1590.26,Stevens and Sons,Nicolemouth,MH,0
b549ef09-b2ac-4265-ada1-aebd5bcfefbe,68767b46-a97c-494e-8882-fb669cc0e321,2025-10-13 21:54:21,54.44,"Gomez, Macias and Conway",Turnerville,OR,0
b9010429-361e-4f09-9a81-0115538b7fde,eec0e629-cb0f-4fa3-b931-bbfce3b4bcff,2025-10-13 21:54:31,1489.42,Murray LLC,Lake David,FL,0
4ee2e459-f9bb-4d99-92ce-0f1ebd50f696,33318eca-8e94-48e8-a54e-6cc42cbe8506,2025-10-13 21:54:41,426.61,Brown-Lee,Michelleshire,CA,0
f0d08325-84ec-4995-b49c-984a759c2691,1011396f-cf9f-4a9c-81c7-5e85334af68c,2025-10-13 21:54:51,1525.13,Howard-Brown,Farrellville,AR,0
d32c075e-cdc2-4ffc-8530-41ff8fd83632,760dd873-37da-410d-aedc-98066d5a2594,2025-10-13 21:55:01,483.65,Cross Inc,Gavinmouth,IL,0
c72407e8-4bd0-4e49-bfe2-c3436017f369,52387876-ce11-4034-a744-c283c39eca63,2025-10-13 21:55:11,1330.48,Miller PLC,Lake Mauriceport,AR,0
d61da9bc-b17c-42d1-b1a6-6c8d067f88da,82b798f3-3c44-4d54-94f0-95a3a383e250,2025-10-13 21:55:21,1692.39,Morris-Combs,Wolfborough,VI,0
a59347b7-545f-4aa8-9012-1f253f58f13d,017f1e68-356b-4218-9bb1-747f50e3d21d,2025-10-13 21:55:31,151.03,Pineda-Evans,Carlburgh,NM,0
88418417-bec0-4bd4-9a93-0c9716b5b75e,215ee115-15e1-40c7-bd3b-afad8949b17b,2025-10-13 21:55:41,651.0,"Jones, Blair and Brock",Port Barbara,WV,0
cd01409b-5730-4840-b96c-16323af2a2d5,179b4538-e570-4388-bafc-257389ad9478,2025-10-13 21:55:51,1692.29,"Morris, Morris and Brown",Lawsonfort,PA,0
f9695b0c-cca1-4710-ba54-bd2c8178c971,934f67be-151a-4155-a560-0a5ecc82aeac,2025-10-13 21:56:01,909.95,Key Group,North Jorgeborough,KS,0
c3aac282-b5ba-4cf0-bab6-7911ea6c6c04,a1871953-89ab-40e1-aa0f-4acdf6c41c8f,2025-10-13 21:56:11,139.87,"Brock, Reyes and Hanson",Tonyatown,IA,0
cf293746-9b24-4d03-ae9a-805a1aa3a5bc,611efd98-b4b7-4145-8be3-9b87831b2a99,2025-10-13 21:56:21,1857.22,Medina Inc,New Michelle,OH,0
824cd0fd-5376-4481-b7ca-6c3389fdfc0e,57884dcb-a218-48ca-976e-4f514bd3f6cf,2025-10-13 21:56:31,302.1,Tate-Woods,Sarahmouth,TN,0
93afbf70-12ea-4776-acdb-075ae3b9923b,c51bd4ca-e4f5-4a50-94cc-d6e721982498,2025-10-13 21:56:41,786.73,"Hernandez, Daniels and Leon",East Kelly,NV,0
df3d665e-3a5a-4f8f-b145-39cbb90706b9,c7b04dbe-b0f3-41b5-81b8-545531bf991f,2025-10-13 21:56:51,1802.89,Weiss Group,North Aaron,NM,0
21cbf00f-9107-420b-9d2a-95047eb9a501,fd58fc0f-1069-498b-8091-9f39839d4839,2025-10-13 21:57:01,1827.14,Johnson-Johnson,Lake Brandonville,NE,0
7b88e4f5-cb3f-4e22-8de7-b5b3a3ba4de9,20dccddf-4450-4c8e-96de-5451241558d9,2025-10-13 21:57:11,927.31,Bright Inc,Russoton,IL,0
e8790295-33ad-4d07-b8a7-7b5181dbf4b5,fc5e59d9-0257-4256-af80-7197b9eacad1,2025-10-13 21:57:21,1022.55,Fields Group,Stevensonview,AL,0
2be23b51-c317-4c86-8e96-6a32ae6253de,b7dc7e9c-1d6c-405c-a5bf-ed090b7e0620,2025-10-13 21:57:31,1256.98,Rogers-Powell,East Williechester,AR,0
cc233dbd-d5f5-431d-bd53-ca6ef6ead191,4d2fb341-8a33-4434-95f1-2eda305b2380,2025-10-13 21:57:41,109.87,Bell-Jordan,Johnbury,IN,0
ea4f1fa7-36e4-4a53-a0d7-1966ec022bbb,f84db1fc-318f-468a-8aa7-fdeec9a93dbd,2025-10-13 21:57:51,1810.26,Anderson-Frederick,Watsonstad,AL,0
8d921a39-b8d0-4ed7-ba37-f0682115dffd,f056d5c1-b11d-4b73-8dcf-042c812de16d,2025-10-13 21:58:01,1517.78,Rodriguez and Sons,South Stevenland,IA,0
91fdbe11-dc01-40d3-8e18-17f2316ac2b1,d2504bef-8680-4229-b07a-2ccd4aa67c11,2025-10-13 21:58:11,549.93,Martin-Parker,West Kimberly,OR,0
eb42699e-f4d3-44dd-a0ae-ad082e9b81fc,454a3ad8-99c0-4c06-a07e-4fc90da9d774,2025-10-13 21:58:21,1256.86,"Schaefer, Brady and Walker",New Deborahborough,MP,0
cfe6afc8-d3a2-4fc6-8737-6e0cd291767e,92efaddb-25f9-415e-b65f-fb966b8d62b1,2025-10-13 21:58:31,1280.6,Martinez LLC,Meredithfort,GA,0
